artist,song,link,text,Moods
Travis,J. Smith,/t/travis/j+smith_20759935.html,"There's a man on the street,  
And he looks at his feet form his window.  
And he swears at the sun,  
And he curses the moon for its shadow.  
  
Take a leaf from his book  
Take a thread from his suite  
He's a new man  
  
And he prays to his god  
That he reaps his reward  
For his new plan  
  
Oh, the mold has been cast  
The radio's in the bath  
Yeah yeah yeah  
  
Labor tuus nunc ad terminum  
Sed per deos, vade retro  
Nomen nusquan video  
Carbo in culo in aeternitatem  
Placet satanae te vedere

",Fairy
Electric Light Orchestra,Is It Alright,/e/electric+light+orchestra/is+it+alright_20045345.html,"Dear Jo:  
I don't know where to begin so I'll just hello  
Dear Jo:  
Is it so much better now you're on your own?  
(Is it alright?) you never believed in yourself  
(Is it alright?) but now that you're free, does it help?  
  
Is it alright?  
Now that you've got what you want?  
And is it alright?  
Now that you're back where you belong?  
  
Dear Jo:  
Are you living it up every place you go?  
Dear Jo:  
If you're having a hard time it sure don't show  
(Is it alright?) you couldn't hold on in your mind.  
(Is it alright?) now is it okay, is it fine?  
  
Is it alright?  
Now that you've got what you want?  
And is it alright?  
Now that you're back where you belong?  
  
Dear Jo:  
Can you believe that it's been so long?  
Dear Jo:  
Just thought I'd write and let you know  
(Is it alright?) you never believed in yourself  
(Is it alright?) but now that you're free, does it help?  
  
Is it alright?  
Now that you've got what you want?  
And is it alright?  
Now that you're back where you belong?  
  
Is it alright?  
Is it alright with you?  
Is it alright?  
Is it alright with you?  
  
Is it alright?  
Now that you've got what you want?  
And is it alright?  
Now that you're back where you belong?  
  
Is it alright?  
Now that you've got what you want?  
And is it alright?  
Now that you're back where you belong?

",Fantasy
Toto,Good For You,/t/toto/good+for+you_20139799.html,"If you're dreamin', son don't you rise  
I never get lost, so deep into us  
I won't give up until you give in, but I know you must realize  
  
[Chorus:]  
I could be good for you, you could be good for me too, yeah  
I could be good for you, you could be good for me too  
  
Everyone knows, but they don't know why  
How much will a smile, you satisfy  
Stars gonna shine, the way that you feel  
So there is no reason, I wonder why  
  
[Chorus x3]

",Film Score
Misfits,Curse Of The Mummy's Hand,/m/misfits/curse+of+the+mummys+hand_20984199.html,"Oh, Rah  
  
Father almighty turn the darkness to day  
Father providing turning desert to grain  
God's son the pharaoh speaks to Rah calling his name  
Oh rah, devour those who dare open my grave  
Place a curse in his hand  
  
The mummy's hand  
The mummy's hand  
  
My tomb so mighty scorns the world as time slips away  
Thieves hunt for bounty through the stone they search for a way  
Treasure inviting to my lair where hell awaits  
Rotting this body steals the souls of those who betray  
Place your curse in his hand  
  
The mummy's hand  
The mummy's hand  
  
Father almighty turn the darkness to day  
Oh Rah, devour those who dare open my grave  
Place a curse in his hand  
  
The mummy's hand  
The mummy's hand  
  
The mummy's hand  
The mummy's hand  
The mummy's hand

",Flamenco
Jennifer Lopez,I've Been Thinking,/j/jennifer+lopez/ive+been+thinking_20620544.html,"All I need is a place to be  
And a way to feel  
A space to figure out where I belong  
A chance to know my thoughts  
And find a way to show  
What I feel...  
And if this is real...  
Yeah  
  
Don't wanna disappoint you  
Don't wanna let you down  
Cause that's the last thing I would do  
I'm asking for your patience  
I realize I could loose you  
But lately I've been so confused  
  
I've been thinkin' (thinking)  
You've been on my mind (on my mind)  
So I've been praying (praying)  
To find a way that I (a way that I)  
Can be sure, the way that (the way that)  
You've been sure with me (sure with me)  
Don't you want that from me  
  
Wondering endlessly if this is right or wrong  
Or if it's just about me all along  
All I need is time to search within my soul  
So I can share a deeper part of me...  
Yeah  
  
Don't wanna disappoint you  
Don't wanna let you down  
Cause that's the last thing I would do  
I'm asking for your patience  
I realize I could loose you  
But lately I've been so confused  
  
I've been thinkin' (thinking)  
You've been on my mind (on my mind)  
So I've been praying (praying)  
To find a way that I (a way that I)  
Can be sure, the way that (the way that)  
You've been sure with me (sure with me)  
Don't you want that from me  
  
Baby, what's meant to be (what was meant to be)  
Will surely be (will surely be baby)  
If you love me baby you would understand  
But I can't give you anything (can't give you anything)  
If I don't have myself to give (if I don't have myself to give)  
And it's killing me inside...  
  
I've been thinkin' (thinking)  
You've been on my mind (on my mind)  
So I've been praying (praying)  
To find a way that I (a way that I)  
Can be sure, the way that (the way that)  
You've been sure with me (sure with me)  
Don't you want that from me  
  
I've been thinkin' (thinking)  
You've been on my mind (on my mind)  
So I've been praying (praying)  
To find a way that I (a way that I)  
Can be sure, the way that (the way that)  
You've been sure with me (sure with me)  
Don't you want that from me

",Folk
Meat Loaf,Cry Over Me,/m/meat+loaf/cry+over+me_20487404.html,"Another night sleepless  
I don't want to feel this  
Nothing can stop this pain  
Trying to get to a time I forget you  
Still tangled in yesterday  
It's so easy for you  
To give nothing for me  
Did you ever feel anything?  
I want you to cry over me  
Die over me  
Even for a moment  
Even for a moment  
I want you to hurt over me  
Feel what I feel  
I want you to cry over, die over me  
Baby, just for one time  
I want your heart broken  
Some sign of emotion  
Wanna to see the tears tumble down  
Show me I meant something  
And that you feel nothing  
But your world crashing to the ground  
It's so easy for you  
To forget about me  
Did I ever mean anything?  
I want you to cry over me  
Die over me  
Even for a moment  
Even for a moment  
I want you to hurt over me  
Feel what I feel  
I want you to cry over, die over me  
Baby, just for one time  
Cry, cry, cry  
But did you feel something?  
Did we mean nothing at all?  
I want you to cry over, cry over me  
Die over me  
Even for a moment  
Even for a moment  
I want you to hurt over me  
Feel what I feel  
Even for a moment  
Oh, why can't you just cry over, die over me  
Baby, why can't you hurt like I do  
Like I hurt over you  
Can't you cry over, die over me  
Baby, just for one time  
I want you to cry over, die over me  
Baby, want you to fall on your knees  
Baby, crawl back to me  
Want you to cry over, die over me  
Baby, just one time  
Cry, cry, cry  

",Forro
Paul McCartney,Footprints,/p/paul+mccartney/footprints_20105711.html,"It's beautiful outside, an old hand gathers wood,  
Can he see me sitting here? his mind is somewhere else.  
  
His friend have flown away, he's left out in the cold.  
He won't sit by my fire, he says he likes it in the snow.  
Where footprints never go, he likes it in the snow.  
  
It's getting dark outside, the old hand's going home,  
Has he someone waiting there? or is he living on his own?  
Where footprints never go, he likes it in the snow...  
  
White blanket, hiding the traces of tears she didn't see,  
Oh white blanket covers the memory  
Of all that used to be. all that used to be.  
But his heart keeps aching in the same old way,  
He can't help feeling that she might come back someday.  
  
It's beautiful outside, a magpie looks for food.  
The old hand throws a crumb,  
Do you think he's found a friend?  
Where footprints never go, he likes it in the snow...  
  
White blanket, hiding the traces of paths he didn't take  
Oh white blanket covers the memory  
Of moves he didn't make  
Oh white blanket, hiding the traces of tears she didn't see  
  
Snow white blanket simply covers the memory  
Of all that used to be.  
But his heart keeps aching in the same old way  
He can't help feeling that she might come back someday.

",French
Venom,In Nomine Satanas,/v/venom/in+nomine+satanas_20281040.html,"In the name of Satan  
We'll achieve our goal  
With the blessings of Hades  
We'll outlive our role  
Through the power of Hellfire  
We will gather our strength  
With the blood of mere mortals  
Our thirst will be quenched  
In the name of Satan  
Great things can be done  
Through the lore of the demons  
Satan's song can be sung  
Gather around my Legions  
For in time you'll see  
Mortals screaming for mercy  
At the king for world war three  
Hail Satanas  
In nominai Deinochous  
Satanas Lucifre excelsis  
In the name of Satan  
We'll take what we need  
Rock and roll damnation  
Let your heart bleed  
Sensing the distaster  
So we'll blame our hate  
Hell bore Satan's child  
To use you as our bait  
Hear infernal legions plead  
As Satan sings his songs of war  
As I see mortal corpses rise  
Up from the depths  
I care not for the whore  
I shall destroy the priests  
Bound in chains and demned in Hell  
I shall n'er release their souls  
For the internal torment always reigns  
Summon legions of the night  
For we are now as one....  

",Funk
Foreigner,Until The End Of Time,/f/foreigner/until+the+end+of+time_20054882.html,"When I was young and the world belonged to me,  
I thought that love meant pain and jealousy.  
It was a cross on my shoulder.  
Oh, Lord, now I feel so much older.  
Mmm. Mmm.  
  
Time had a way of making me see my lonely life has taken its toll on me.  
Now, I feel the emptiness and I don't wanna live like this.  
Now, I've heard stories, I've heard songs telling me believe my heart.  
Don't wait too long with words that don't ring true until there was you.  
  
Never will I lose this heart's desire.  
Ever will I feel our love's fire only when I know  
That you'll be mine until the end of time.  
  
How do I trust what I'm beginning to feel,  
And how deep my soul, how much can I reveal?  
I'm lost in love's mystery, caught between time and eternity.  
Now, there's a door that opens wide.  
Slowly I will find my way and I'll reach inside.  
But I couldn't make it through until there was you.  
  
Never will I lose this heart's desire.  
Ever will I feel our love's fire only when I know  
That you'll be mine and only when I see  
The light of love shine until the end of time.  
Never will I lose this heart's desire.  
Ever will I feel our love's fire.  
And when I see the light of love shine in your eyes when they meet mine,  
Only then I'll know it's you and I until the end of time.

",Fusion
Foo Fighters,Holiday In Cambodia,/f/foo+fighters/holiday+in+cambodia_20769724.html,"So you been to school  
For a year or two  
And you know youve seen it all  
In daddys car  
Thinkin you'll go far  
Back east your type don't crawl  
  
Play ethnicky jazz  
To parade your snazz  
On your five grand stereo  
Braggin that you know  
How the brothers feel cold  
And the slums got so much soul  
  
It's time to taste what you most fear  
Right guard will not help you here  
Brace yourself, my dear  
Brace yourself, my dear  
  
It's a holiday in cambodia  
It's tough, kid, but it's life  
It's a holiday in cambodia  
Don't forget to pack a wife  
  
You're a star-belly sneech  
You suck like a leach  
You want everyone to act like you  
Kiss ass while you bitch  
So you can get rich  
But your boss gets richer off you  
  
Well you'll work harder  
With a gun in your back  
For a bowl of rice a day  
Slave for soldiers  
Till you starve  
Then your head is skewered on a stake  
  
Now you can go where people are one  
Now you can go where they get things done  
What you need, my son  
What you need, my son  
  
Is a holiday in cambodia  
Where people dress in black  
A holiday in cambodia  
Where you'll kiss ass or crack  
  
Pol Pot  
  
And it's a holiday in cambodia  
Where you'll do what you're told  
A holiday in cambodia  
Where the slums got so much soul

",Game
Cliff Richard,Don't Turn The Light Out,/c/cliff+richard/dont+turn+the+light+out_20032107.html,"On my way home I met an  
Old friend of mine  
We walked and we talked an' shared  
A bottle of wine  
  
We started to dance and my  
Intentions were good  
How could I know I'd be misunderstood  
I promised to call before the weekend  
  
Was through  
We'd all get together sho she could  
Meet you  
I was just being friendly, I met her  
  
By chance  
You gotta believe me - it's not a romance  
Don't turn the light out, I'm starting to see  
Don't turn the light out, you're getting to me  
  
Don't turn the light out, we're burning so bright  
Don't turn the light out.....don't turn the light out  
You gotta see it from my point  
Of view  
  
The same situation could  
Happen to you  
I said it was over before she left  
Town  
  
I can't believe that you're putting me down  
Don't turn the light out, I'm starting to see  
Don't turn the light out, you're getting to me  
Don't turn the light out, we're burning so bright  
Don't turn the light out.....don't turn the light out  
  
It would be easy if you'd lighten up  
Do it to please me, enough is enough  
All that we've been through, how can you doubt  
The ups an' the downs are what loving's about  
So don't turn the light out, I'm starting to see  
  
Don't turn the light out, you're getting to me  
Don't turn the light out, we're burning so bright  
Don't turn the light out.....don't turn the light out

",Gangsta
Yo La Tengo,Sugarcube,/y/yo+la+tengo/sugarcube_20207574.html,"Whatever you want from me, whatever you want I'll do  
Try to squeeze a drop of blood from a sugarcube  
  
Try to be more assured, try to be more right there  
Try to be less uptight, try to be more aware  
Whatever you want from me, is what I want to do for you  
Sweeter than a drop of blood from a sugarcube  
  
And though I like to act the part of being tough  
I crumble like a sugarcube for you  
  
Whatever you want from me, whatever you want I'll do  
I will try

",German
Cheap Trick,Rock All Night,/c/cheap+trick/rock+all+night_20029448.html,"Rock!  
(rock all night) what you want  
(rock all night) what you need  
(rock all night) comin', comin' to get you, baby  
(rock all night)  
  
Oh make no mistake  
Don't take a chance  
Don't back down  
Down, down to the ground  
Let's see some action  
Make a scene in between  
Go all the way  
Better get ready (better get ready)  
Get ready  
  
(rock all night) what  
(rock all night) what you need  
(rock all night) comin', comin' to get you, baby  
(rock all night)  
  
What you want, what you need  
I'll tell you what to do  
On the rack and in the sack  
Do it all for you  
Stumble down, I get up  
Up for genocide  
Better get ready (better get ready)  
Get ready  
  
(rock all night) get ready  
(rock all night) what you need  
(rock all night) comin', comin' to get you, baby  
(rock all night)  
Oo, yeah  
  
Now it's time to settle the score  
I won't come knockin'  
I'll just kick down your door  
I don't know what you're waitin' for  
This is war, yeah  
(rock all night)  
  
Rock!  
(rock all night)  
(rock all night) get ready  
(rock all night) better get ready  
(rock all night) get ready, get ready  
(rock all night) get ready for me

",Glam
Reba Mcentire,I Got Lost In His Arms,/r/reba+mcentire/i+got+lost+in+his+arms_20708365.html,"Don't ask me just how it happened  
I wish I knew  
I can't believe that it happened  
And still it's true  
  
I got lost in his arms  
And I had to stay  
It was dark in his arms  
And I lost my way  
From the dark came a voice  
And it seemed to say  
There ya go, there ya go  
How I felt as I fell  
I just can't recall  
But his arms held me fast  
And it broke the fall  
And I said to my heart  
As it foolishly kept jumping around  
I got lost, but look what I found  
  
I got lost in his arms  
And I had to stay  
It was dark in his arms  
And I lost my way  
From the dark came a voice  
And it seemed to say  
There ya go, there ya go  
How I felt as I fell  
I just can't recall  
But his arms held me fast  
And it broke the fall  
And I said to my heart  
As it foolishly kept jumping around  
I got lost, but look what I found

",Gothic
Reo Speedwagon,Here With Me,/r/reo+speedwagon/here+with+me_20115721.html,"Maybe it's too late  
But this feelin' is runnin' through my soul  
I think I learned what love is, but I'm afraid I let it go  
Maybe it's too late  
Maybe you've already changed your mind  
Turned lovin' into leavin'  
And I'm on the outside  
  
You can take these words to bed with you  
And hold on to them at night  
They can erase the emptiness  
And make everything alright  
But your laughter and your tenderness  
Will never disappear  
No matter where you are tonight  
A part of you is here with me  
  
Here with me  
I don't know where you are  
All I know is I need you to be  
Here with me  
I know it's not too late  
to turn around and get it straight  
It's my fate to have you here with me  
  
I can hear your voice  
Promising your love will never die  
I can feel your golden skin on mine  
Beneath the desert sky  
So how can it be true  
How can you just turn and let me go  
Let the story of your life with mine  
Forever go untold  
  
I can take these words to bed with me  
And hold on to them at night  
They can erase the emptiness  
And make everything alright  
Cause your laughter and your tenderness  
Will never disappear  
No matter where you are tonight  
A part of you is here with me  
  
[Chorus]  
  
[Repeat Chorus]  
  
Here with me (are you here with me)  
I don't know where you are (don't know where)  
All I know is, I need you to be, ohohwhoa  
Here with me  
I know it's not too late (know it's not too late)  
To turn around and get it straight  
Here with me...

",Greek
Yo La Tengo,Pablo And Andrea,/y/yo+la+tengo/pablo+and+andrea_20531727.html,"Show me where you keep all your secrets upstairs  
Night after night you sleep while they're setting off flares Someone came and
took all the roses away  
Now you'll sit showing me tears if you want me to stay  
Cause down the street all the meters have run out of time, run out of time I
waited for you as the trees swayed out of time  
In a crowded room I pick up your lonely stare  
I'll cover for you like a slipcover covers a chair  
But someone came and took all the roses away  
It was only 5 minutes but it felt like it stretched into a day  
Someone came and took all the roses away

",Grunge
Guided By Voices,Littlest League Possible,/g/guided+by+voices/littlest+league+possible_21077558.html,"Gonna have a lot of fun  
Gonna hit a home run  
In the littlest league possible  
In the littlest league possible  
  
Go and make a big splash  
Don't have the song trashed  
In the littlest league possible  
In the littlest league possible  
  
The nurse went through  
The division of conversation  
Where words collide  
To be the biggest fish in the smallest pond  
  
I'm the middlesest spider in the arachnid design  
Looking and fading out in the Texas league  
And meanwhile I took too much and also  
From running too fast  
  
You ran out of gas  
But that's not possible  
In the littlest league possible

",Gypsy
Tears For Fears,Mr. Pessimist,/t/tears+for+fears/mr+pessimist_10229398.html,"Time will swallow  
Your precious time  
Like magic create the future  
What makes man so fickle?  
Who put the daggers in those eyes?  
Was it to learn  
Through dark days of struggle?  
Was it to burn  
To burst all our bubbles?  
Thunder and rain  
Well the cynical flame will it heat, stick and blister?  
Thunder and rain  
Evangelistic brother  
Should be banging a tambourine  
Go wash your hands and fingers  
Till your mind is clean  
Was it your fate  
To sleep like a normal?  
Time and decay  
No man is immortal  
Thunder and rain  
Boredom and pain lit the cynical flame  
Will it heat stick and blister?  
Thunder and rain  
Still try to resist the pessimist  
The pessimist no no  
And these things I find  
In the back of my mind  
Where time lasts forever  
I get all mixed  
Think I'm all mankind  
Listen Mr Pessimister  
With your Catholic taste  
Oh listen Mr Pessimister Pessimister  
We do not relate  
Listen Mr Pessimister, Pessimister, Pessimister  
Mr Pessimister  

",Happy
Ne-Yo,Miss Right,/n/ne+yo/miss+right_20967537.html,"Hello, good evening  
  
Came in here, shut the world out  
Nothing to get into, nothing to bein' bout  
Just grab a little bite, quite a little night  
By no means looking for Miss Right  
But hello, good evening  
  
Clearly she was out with her girls alone (That I could tell)  
Beautiful, barely any make-up on (So natural)  
The kind that make you wanna put the games away  
Think about the future, but first I'll say  
Hello, good evening  
  
Oh Miss Right, Miss Right  
What are you doing here?  
Oh Miss Right, wasn't expecting you tonight  
Oh Miss Right, Miss Right  
How about we disappear?  
Said if you got no plans, baby if you got time  
Come and be the rest of my life  
Oh, Miss Right, yeah  
  
But ain't it amazing?  
Spend forever looking, all the time wasting  
Soon as I throw my hands up and say I quit  
Turn the corner and there my future sits  
Hello, good evening  
  
Clearly she was out with her girls alone (That I could tell)  
Beautiful barely any make-up on (So natural)  
The kind that make you wanna put the games away  
Think about the future, but first I'll say  
Hello, good evening  
  
Oh Miss Right, Miss Right  
What are you doing today? (What are you doin' baby)  
Wasn't expecting you tonight  
Oh Miss Right, Miss Right  
How about we disappear?  
Said if you got no plans, baby if you got time  
Come and be the rest of my life  
  
Please forgive if I'm forward , hmm  
But this chance won't pass me by  
'Cause, see, I'm looking at forever  
And it's the most beautiful thing I've seen in my life  
Ooh Miss Right  
  
Miss Right, what are you doing here? (So what are you doin' here baby)  
Wasn't expecting you tonight (I wasn't expecting you tonight, ohh)  
Miss Right, how about we disappear?  
Said if you got no plans, baby if you got time  
Come and be the rest of my life (The rest my life)  
  
Miss Right, what are you doing here? (The rest of my life)  
Wasn't expecting you tonight  
Miss Right, how about we disappear?  
Said if you got no plans, baby if you got time  
Come and be the rest of my life  
  
Said if you got no plans, baby if you got time  
Come and be the rest of my life

",Hardcore
Judds,Old Pictures,/j/judds/old+pictures_20076333.html,"Here's a little girl playin' dress up  
Somewhere under all that lace  
Standin' in her mama's high heeled shoes  
With a lipstick covered face  
And here's a little boy on a pony  
He's a cowboy all the way  
He used to pull my hair and make me mad  
At the Saturday matinee  
Who would've thought that I'd lose my heart  
To the same little boy someday  
  
Lookin' through my old pictures  
Faded photographs  
Some of them bring me close to tears  
Others make me laugh  
Old memories seem to come alive  
And open up the past again  
And let me dream inside  
  
Here's brother with his first automobile  
Thought he'd washed the paint away  
He took a job that took him West  
He's doing very well  
We don't see much of brother these days  
And this is my favorite of my papa  
He's dressed up in his Sunday suit  
A wide brimmed hat, a watch on a chain  
Well, I'm gonna tell you the truth  
It's a picture of a downright handsome man  
Caught in the prime of his youth  
  
Lookin' through my old pictures  
Faded photographs  
Some of them bring me close to tears  
Others make me laugh  
Old memories seem to come alive  
And open up the past again  
And let me dream inside  
  
They open up the past again and let me dream inside

",Hard Rock
Bruno Mars,Grenade,/b/bruno+mars/grenade_20889922.html,"Easy come, easy go, that's just how you live oh  
Take, take, take it all, but you never give  
Should have known you was trouble from the first kiss  
Had your eyes wide open,  
Why were they open?  
  
Gave you all I had and you tossed it in the trash  
You tossed it in the trash, you did  
To give me all your love is all I ever asked 'cause  
What you don't understand is I'd catch a grenade for ya (yeah, yeah)  
Throw my head on a blade for ya (yeah, yeah)  
I'd jump in front of a train for ya (yeah, yeah)  
You know I'd do anything for ya (yeah, yeah)  
  
Oh oh, I would go through all this pain  
Take a bullet straight through my brain  
Yes, I would die for ya baby  
But you won't do the same  
  
No, no, no, no  
Black, black, black and blue,  
Beat me 'til I'm numb,  
Tell the devil I said 'hey' when you get back to where you're from  
Mad woman, bad woman  
That's just what you are,  
Yeah you'll smile in my face then rip the brakes out my car  
  
Gave you all I had and you tossed it in the trash  
You tossed it in the trash, yes you did  
To give me all your love is all I ever asked  
'Cause what you don't understand is  
  
I'd catch a grenade for ya (yeah, yeah)  
Throw my head on a blade for ya (yeah, yeah)  
I'd jump in front of a train for ya (yeah, yeah)  
You know I'd do anything for ya (yeah, yeah)  
  
Oh oh, I would go through all this pain,  
Take a bullet straight through my brain,  
Yes, I would die for ya baby,  
But you won't do the same  
  
If my body was on fire,  
Oh you'd watch me burn down in flames  
You said you loved me you're a liar 'cause you never,  
Ever, ever did baby  
  
But darling I'll still catch a grenade for ya (yeah, yeah)  
Throw my head on a blade for ya (yeah, yeah)  
I'd jump in front of a train for ya (yeah, yeah)  
You know I'd do anything for ya (yeah, yeah)  
  
Oh oh I would go through all this pain  
Take a bullet straight through my brain  
Yes, I would die for ya baby  
But you won't do the same  
No, you won't do the same  
You wouldn't do the same  
Oh, you'll never do the same  
No, no, no, no

",Heavy Metal
Foo Fighters,Empty Handed,/f/foo+fighters/empty+handed_21097702.html,"[Verse 1]  
Blast on near a wall  
Tell it or say  
Blast it  
Read a bow  
Wear it all away  
Empty handed  
Empty handed  
  
[Verse 2]  
Peel oh peel the rest  
Need a bit of salt  
Beg for it, son  
Nail it to a wall  
Empty handed  
Empty handed  
  
[Chorus 1](x2)  
It's never enough  
It's never enough  
It's never enough  
Yeah, you had another rule  
  
[Verse 1]  
  
[Verse 2]  
  
[Chorus](x4)  
  
Wow!

",Hip Hop
Avril Lavigne,Adia,/a/avril+lavigne/adia_20733051.html,"Adia I do believe I failed you  
Adia I know I let you down  
Don't you know I tried so hard  
To love you in my way  
It's easy let it go...  
Adia I'm empty since you left me  
Trying to find a way to carry on  
I search myself and everyone  
To see where we went wrong  
'cause there's no one left to finger  
There's no one here to blame  
There's no one left to talk to, honey  
And there ain't no one to buy our innocence  
'cause we are born innocent  
Believe me adia, we are still innocent  
It's easy, we all falter  
Does it matter?  
Adia I thought that we could make it  
But I know I can't change the way you feel  
I leave you with your misery  
A friend who won't betray  
I pull you from your tower  
I take away your pain  
And show you all the beauty you possess  
If you'd only let yourself believe that  
We are born innocent  
Believe me adia, we are still innocent  
It's easy, we all falter, does it matter?  
Believe me adia, we are still innocent  
'cause we are born innocent  
Adia we are still innocent  
It's easy, we all falter... But does it matter?

",Historical
Vanilla Ice,Tha Weed Song,/v/vanilla+ice/tha+weed+song_20317245.html,"Now here's a Zig Zag story while I'm writing this song  
Sit back relax I'm igniting this bong  
Picture this sandy beaches dimes wearin thongs  
Serving mixed drinks to me all night long  
With me feet back puffin on my weed sack  
Shit you can't believe that people ask me  
Where you buy your trees at  
Got the Bombay Ganje lime green  
Sticky icky Ganja got me needing Visine  
  
Like a magic carpet ride come fly with me  
And this is for my homies that get high with me  
Just crack the Phillie open cause we keep on smoking  
  
Dimes rubbin on lotion  
Feet soaking in the ocean  
On a tropical Island staying sunny  
We outta Phillies take these skins somebody roll a Mummy  
Now people say money makes the world go round  
  
So come escape with me and let's puff on a pound.  
  
Chorus:  
So high fly through the sky  
And ride my life high  
Fly through the sky  
  
  
No matter what you say  
Feeling so alright so Ire today  
Fire de go blaze  
No responsibility man  
  
No responsible  
Me I go rolling a fat blunt  
Smoking the fat blunt  
This is my goal.  
  
Take it easy Rastaman  
  
I will now go blaze  
From Kingston Jamaica  
  
Bombay to India  
Smoking in the air  
What da da da day  
Some of them are smoking  
Weed to take away frustration  
I and I do it for me aggravation  
Dreadlock to Babylon are selling everyday  
Come me say  
Bringing it back on the boat back to the USA  
With the ganja me floating me floating away  
  
Why not come and puff with me and then we go fly away  
  
Chorus repeat  
  
Well it's the sticky icky bomb Holmes  
Got the fat sacks puffier than Sean Combs  
It's the Ice man back blowin dookie out the nostrils  
In the studio creating shit that's colossal  
Apostle of the green bud see me bleemed up  
In my 430 Lexus off in Texas teamed up  
With the Darkman and we're blazing  
Some headbanging shit yo the Ice'll come equipped  
  
To spit with the best cause I'm all about mine  
I got dimes of smoke that'll make you float on cloud nine  
  
Then I shine just like a beacon in the night  
Pass me the Thai I get high on the mic  
For real a zig zag story for my peeps  
Bangin in the Jeeps while you slang it in the streets  
Like Napalm I'm way gone and now it's time to bounce  
  
It's the weed song come with me and smoke an ounce  
  
Chorus repeat  
  
  

",Holiday
Alice In Chains,Sealed With A Kiss,/a/alice+in+chains/sealed+with+a+kiss_20996410.html,"Yeah! Yeah!  
  
You left the lights on yeah!  
This is what you ran  
I wanna see you naked baby  
I wanna take you to bed  
  
I said it, said it with love  
Didn't you notice? It was  
Sealed with a kiss!  
(Hough!) Yeah! Yeah!  
  
Take it how I feel it, uh!  
  
Read about me in the papers  
And what's pretty is too  
Baby  
Now I'm coming for you!  
  
Said it, said it with love  
Didn't you notice? It was  
Sealed with a kiss!  
(Hough!) Yeah!  
  
Take it how I feel it, uh!  
  
Uuuuh Ooooh  
Uuuuh  
Hey! Hey!  
Uuuuh Ooooh  
Ooooh  
Yeah! Yeah! Yeah! Yeah!  
Hey!  
  
Said it, said it with love  
Didn't you notice? It was  
Sealed with a kiss!  
(Hough!) Yeah! Yeah!  
  
Sealed With A Kiss!  
(Hough!) Yeah! Yeah!  
  
(Hough!)  
  
Sealed with a kiss!  
Right!  
  
(Hough!)  
  
Sealed with a kiss!  
Yeah! Yeah!  
  
(Hough!)  
  
Sealed With A Kiss!  
Yeah! Yeah!

",Horror
Hillsong,Across The Earth,/h/hillsong/across+the+earth_20833706.html,"Across the earth  
Your praises rise  
We lift our voice  
Call upon Your Name  
You gave us hope  
That never ends  
In Christ alone  
The victory remains  
  
For You are great and mighty  
Let the nations sing  
  
Your praise fills the heavens  
For You have redeemed us  
Our hope is in You alone  
The cross has released us  
To sing of Your freedom  
By grace You make all things new  
  
You came to us  
To save our lives  
The love of God  
Was seen upon the cross  
You rose again  
The glory Yours  
The highest praise  
Belongs to You alone  
  
Your kingdom reigns  
Your kingdom reigns  
Above all  
Above all

",House
Yes,Shoot High Aim Low,/y/yes/shoot+high+aim+low_20148341.html,"We hit the blue fields  
In the blue sedan we didn't get much further  
Just as the sun was rising in the mist  
We were all alone we didn't need much more  
  
So fast this expidition  
So vast this heavy load  
With a touch of luck and a sense of need  
Seeing the guns and their faces  
We look around the open shore  
Waiting for something  
  
Shoot high break low  
Aim high shoot low  
Break high let go  
Shoot high aim low  
  
This was to be our last ride  
With the steel guitar and the love you give me  
Underneath the skin a feeling, a breakdown  
Well we sat for hours on the crimson sand  
  
Exchanges in the currency of humans bought and sold  
And the leaders seem to lose control  
  
Shall we lose ourselves for a reason  
Shall we burn ourselves for the answer  
Have we found the place that we're looking for  
Someone shouted ""open the door""  
Lookout  
  
Shoot high break low  
Aim high shoot low  
Feeling of imagination  
Break high let go  
Shoot high aim low  
  
Shoot high aim low  
Nothing you can say  
Shoot high let go  
Takes me by surprise  
  
Shoot high aim low  
Who says's there's got to be a reason  
Shoot high let go  
Who says there's got to be an answer  
  
We were all alone, we didn't need much more  
Shoot high aim low  
The sun's so hard on this endless highway  
Shoot high let go  
Shoot high aim low  
I've heard the singers, who sing of love  
Shoot high let go  
In the blue sedan we never got much further  
Shoot high aim low

",Humorous
